"","participant","slide","CHOL","confidence","asst_pred","unasst_pred","gt","name","type"
"53","P10Test2_02032019","slide2.7",0.53537178,0.46462822,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"54","P10Test2_02032019","slide2.8",0.420455694,0.579544306,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"55","P10Test2_02032019","slide2.9",0.060705066,0.939294934,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"56","P10Test2_02032019","slide4.1",0.061943769,0.938056231,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"57","P10Test2_02032019","slide4.10",0.097343385,0.902656615,1,0,0,"None-GI Specialist 3","Non-GI Specialist"
"58","P10Test2_02032019","slide4.2",0.764141485,0.235858515,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"59","P10Test2_02032019","slide4.3",0.953724127,0.046275873,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"60","P10Test2_02032019","slide4.4",0.694794774,0.305205226,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"61","P10Test2_02032019","slide4.5",0.00154376,0.99845624,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"62","P10Test2_02032019","slide4.6",0.922114305,0.077885695,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"63","P10Test2_02032019","slide4.7",0.000549853,0.999450147,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"64","P10Test2_02032019","slide4.8",0.999915844,8.42e-05,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"65","P10Test2_02032019","slide4.9",0.985824709,0.014175291,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"66","P10Test2_02032019","slide6.1",0.039844573,0.960155427,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"67","P10Test2_02032019","slide6.10",0.844467402,0.155532598,0,0,1,"None-GI Specialist 3","Non-GI Specialist"
"68","P10Test2_02032019","slide6.2",0.005668521,0.994331479,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"69","P10Test2_02032019","slide6.3",0.006317377,0.993682623,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"70","P10Test2_02032019","slide6.4",0.089899838,0.910100162,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"71","P10Test2_02032019","slide6.5",0.030591607,0.969408393,1,1,0,"None-GI Specialist 3","Non-GI Specialist"
"72","P10Test2_02032019","slide6.6",0.155556083,0.844443917,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"73","P10Test2_02032019","slide6.7",0.605121404,0.394878596,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"74","P10Test2_02032019","slide6.8",0.783103645,0.216896355,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"75","P10Test2_02032019","slide6.9",0.962265499,0.037734501,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"76","P10Test2_02032019","slide8.1",0.993674931,0.006325069,0,1,0,"None-GI Specialist 3","Non-GI Specialist"
"77","P10Test2_02032019","slide8.10",0.008207381,0.991792619,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"78","P10Test2_02032019","slide8.2",0.902900323,0.097099677,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"79","P10Test2_02032019","slide8.3",0.996186852,0.003813148,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"80","P10Test2_02032019","slide8.4",0.271908104,0.728091896,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"81","P10Test2_02032019","slide8.5",0.005056083,0.994943917,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"82","P10Test2_02032019","slide8.6",0.256290197,0.743709803,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"83","P10Test2_02032019","slide8.7",0.858216211,0.141783789,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"84","P10Test2_02032019","slide8.8",0.999453982,0.000546018,0,0,0,"None-GI Specialist 3","Non-GI Specialist"
"85","P10Test2_02032019","slide8.9",0.131492436,0.868507564,1,1,1,"None-GI Specialist 3","Non-GI Specialist"
"86","P11Test1_02072019","slide0.1",0.630540699,0.369459301,NA,NA,NA,"Pathologist NOC 1","Pathologist NOC"
"87","P11Test1_02072019","slide0.2",0.828899346,0.171100654,NA,NA,NA,"Pathologist NOC 1","Pathologist NOC"
"88","P11Test1_02072019","slide0.3",0.554998487,0.445001513,NA,NA,NA,"Pathologist NOC 1","Pathologist NOC"
"89","P11Test1_02072019","slide1.1",0.902878337,0.097121663,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"90","P11Test1_02072019","slide1.10",0.633121878,0.366878122,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"91","P11Test1_02072019","slide1.2",0.248891115,0.751108885,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"92","P11Test1_02072019","slide1.3",0.274466336,0.725533664,1,0,0,"Pathologist NOC 1","Pathologist NOC"
"93","P11Test1_02072019","slide1.4",0.81405212,0.18594788,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"94","P11Test1_02072019","slide1.5",0.54479149,0.45520851,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"95","P11Test1_02072019","slide1.6",0.968553148,0.031446852,0,0,0,"Pathologist NOC 1","Pathologist NOC"
"96","P11Test1_02072019","slide1.7",0.99983117,0.00016883,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"97","P11Test1_02072019","slide1.8",0.238091111,0.761908889,1,1,1,"Pathologist NOC 1","Pathologist NOC"
"98","P11Test1_02072019","slide1.9",0.064949036,0.935050964,1,1,1,"Pathologist NOC 1","Pathologist NOC"
